Season,Player,Att,Yds,Avg,TD,,,,,,,,
1983,Turner Gill,109,531,4.9,11,,,,,,,,
1984,Craig Sundberg,56,74,1.3,,,,,,,,,
1985,McCathorn Clayton,83,290,3.5,5,,,,,,,,
1986,Steve Taylor,130,537,4.1,9,,,,,,,,
1987,Steve Taylor,130,659,5.1,8,,,,,,,,
1988,Steve Taylor,157,826,5.3,13,,,,,,,,
1989,Gerry Gdowski,117,925,7.9,13,,,,,,,,
1990,Mickey Joseph,91,554,6.1,10,,,,,,,,
1991,Keithen McCant,117,654,5.6,7,,,,,,,,
1992,Tommie Frazier,86,399,4.6,7,,,,,,,,
1993,Tommie Frazier,126,704,5.6,9,,,,,,,,
1994,Brook Berringer,71,279,3.9,6,,,,,,,,
1995,Tommie Frazier,97,604,6.2,14,,,,,,,,
1996,Scott Frost,126,438,3.5,9,,,,,,,,
1997,Scott Frost,176,1095,6.2,19,,,,,,,,
1998,Eric Crouch,96,459,4.8,5,,,,,,,,
1999,Eric Crouch,180,889,4.9,16,,,,,,,,
2000,Eric Crouch,169,971,5.7,20,,,,,,,,
2001,Eric Crouch,203,1115,5.5,18,,,,,,,,
2002,Jammal Lord,251,1412,5.6,8,,,,,,,,
2003,Jammal Lord,215,948,4.4,10,,,,,,,,
2004,Joe Dailey,53,55,1,4,,,,,,,,
2005,Zac Taylor,76,-41,-0.5,,,,,,,,,
2006,Zac Taylor,60,-32,-0.5,1,,,,,,,,
2007,Sam Keller,25,-78,-3.1,0,,,,,,,,
2007,Joe Ganz,20,93,4.7,3,,,,,,,,
2008,Joe Ganz,92,258,2.8,5,,,,,,,,
2009,Zac Lee,103,171,1.7,1,,,,,,,,
2010,Taylor Martinez,162,965,6,12,,,,,,,,
2011,Taylor Martinez,188,874,4.6,9,,,,,,,,
2012,Taylor Martinez,195,1019,5.2,10,,,,,,,,
2013,Tommy Armstrong Jr,67,202,3,2,,,,,,,,
2013,Taylor Martinez,40,117,2.9,0,,,,,,,,
2014,Tommy Armstrong Jr,145,705,4.9,6,,,,,,,,
2015,Tommy Armstrong Jr,98,400,4.1,7,,,,,,,,
2016,Tommy Armstrong Jr,113,512,4.5,8,,,,,,,,
2017,Tanner Lee,30,-97,-3.2,2,,,,,,,,
2018,Adrian Martinez,140,629,4.5,8,,,,,,,,
2019,Adrian Martinez,144,626,4.3,7,,,,,,,,
2020,Adrian Martinez,91,521,5.7,7,,,,,,,,
2020,Luke McCaffrey,65,364,5.6,3,,,,,,,,